Date,Cac40,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,OR.PA,ORA.PA,PUB.PA,RCO.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,WLN.PA
2025-12-31 08:00:00+00:00,8143.1298828125,160.60000610351562,198.27999877929688,24.979999542236328,76.94000244140625,81.18000030517578,14.21500015258789,141.60000610351562,41.08000183105469,119.94999694824219,23.90999984741211,270.20001220703125,44.349998474121094,22.389999389648438,62.2599983215332,69.0199966430664,228.5,298.70001220703125,127.30000305175781,636.9000244140625,28.209999084472656,365.75,14.210000038146973,88.66000366210938,36.41999816894531,72.95999908447266,2120.0,296.8999938964844,82.87999725341797,86.5999984741211,22.325000762939453,235.35000610351562,61.220001220703125,55.619998931884766,29.700000762939453,2.359999895095825,1.6419999599456787
2025-12-31 08:01:00+00:00,8140.080078125,160.39999389648438,198.16000366210938,,76.9800033569336,81.08999633789062,14.204999923706055,141.5500030517578,41.150001525878906,120.05000305175781,23.899999618530273,269.79998779296875,44.41999816894531,22.3799991607666,,69.0,228.39999389648438,299.3999938964844,126.94999694824219,636.2999877929688,28.200000762939453,365.70001220703125,14.1899995803833,88.77999877929688,,73.0199966430664,,296.8999938964844,82.79000091552734,,22.280000686645508,235.10000610351562,61.400001525878906,55.529998779296875,29.68000030517578,2.367000102996826,1.6404999494552612
2025-12-31 08:02:00+00:00,8135.89990234375,160.55999755859375,198.0399932861328,24.969999313354492,76.83999633789062,80.98999786376953,,,41.099998474121094,,23.8799991607666,269.70001220703125,44.43000030517578,22.3700008392334,62.2400016784668,68.95999908447266,,299.29998779296875,127.1500015258789,636.5999755859375,28.209999084472656,365.54998779296875,14.210000038146973,88.77999877929688,,73.05999755859375,2119.0,,82.83000183105469,86.55999755859375,22.239999771118164,234.9499969482422,61.459999084472656,55.560001373291016,,2.365000009536743,
2025-12-31 08:03:00+00:00,8135.9501953125,160.55999755859375,198.0399932861328,,,81.0,,141.35000610351562,,,23.8799991607666,269.79998779296875,44.439998626708984,,,68.9000015258789,228.5,,127.19999694824219,636.2999877929688,28.209999084472656,365.3500061035156,,88.83999633789062,,,,296.79998779296875,83.01000213623047,86.58000183105469,22.25,235.0500030517578,61.560001373291016,55.560001373291016,,,
2025-12-31 08:04:00+00:00,8135.89990234375,160.52000427246094,197.89999389648438,,76.95999908447266,81.0,14.194999694824219,141.39999389648438,,120.0,,269.79998779296875,44.41999816894531,22.350000381469727,,68.91999816894531,228.39999389648438,299.1499938964844,,636.2000122070312,28.200000762939453,365.8500061035156,14.199999809265137,88.77999877929688,,73.0,,296.5,83.0,86.62000274658203,22.25,234.9499969482422,61.439998626708984,55.529998779296875,29.639999389648438,,1.628499984741211
2025-12-31 08:05:00+00:00,8137.2998046875,160.6199951171875,197.89999389648438,25.0,76.9000015258789,81.02999877929688,14.199999809265137,141.60000610351562,41.119998931884766,120.0999984741211,23.899999618530273,,44.400001525878906,22.3700008392334,,69.0,228.39999389648438,,,,28.239999771118164,365.6499938964844,14.21500015258789,,,,,,83.1500015258789,,22.295000076293945,235.0,61.52000045776367,55.560001373291016,29.670000076293945,,1.628499984741211
2025-12-31 08:06:00+00:00,8135.60986328125,160.5399932861328,197.8800048828125,,76.83999633789062,80.94000244140625,14.180000305175781,141.5500030517578,41.06999969482422,119.94999694824219,23.90999984741211,269.3999938964844,,22.3799991607666,,68.95999908447266,228.3000030517578,,127.0999984741211,636.4000244140625,28.219999313354492,365.6000061035156,14.199999809265137,88.77999877929688,,73.0199966430664,2122.0,296.3999938964844,83.08000183105469,86.5999984741211,22.295000076293945,234.9499969482422,61.52000045776367,55.459999084472656,29.670000076293945,,1.621000051498413
2025-12-31 08:07:00+00:00,8135.56005859375,160.55999755859375,197.89999389648438,25.0,76.86000061035156,,,141.60000610351562,,120.0,23.90999984741211,269.5,,,62.20000076293945,68.9000015258789,,298.8500061035156,127.0999984741211,637.0,,366.0,14.220000267028809,,,,2124.0,,83.08000183105469,,,235.0,,55.47999954223633,29.670000076293945,,1.6150000095367432
2025-12-31 08:08:00+00:00,8133.759765625,160.5,198.02000427246094,24.989999771118164,76.83999633789062,80.88999938964844,14.180000305175781,141.5500030517578,41.08000183105469,119.94999694824219,23.899999618530273,269.6000061035156,44.369998931884766,22.3799991607666,62.119998931884766,68.86000061035156,228.6999969482422,299.0,127.0999984741211,636.5999755859375,28.219999313354492,365.6000061035156,14.210000038146973,88.76000213623047,,,2120.0,296.3999938964844,83.0199966430664,86.55999755859375,22.274999618530273,235.0,61.70000076293945,55.439998626708984,29.65999984741211,,
2025-12-31 08:09:00+00:00,8137.43994140625,160.5800018310547,198.24000549316406,24.989999771118164,76.86000061035156,80.94000244140625,,,41.09000015258789,120.0,23.90999984741211,269.3999938964844,,22.3799991607666,62.220001220703125,68.91999816894531,228.8000030517578,,,637.4000244140625,28.229999542236328,,14.234999656677246,88.80000305175781,,73.0,,,83.08999633789062,86.63999938964844,22.295000076293945,235.0500030517578,61.70000076293945,55.459999084472656,29.68000030517578,,
