Date,Cac40,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,OR.PA,ORA.PA,PUB.PA,RCO.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,WLN.PA
2023-01-09,6907.35986328125,122.8421401977539,111.3646469116211,24.41547203063965,44.551483154296875,46.96966552734375,14.079977035522461,157.09457397460938,23.063037872314453,88.6270980834961,34.33085632324219,162.9937286376953,25.821535110473633,10.052303314208984,66.44404602050781,21.746463775634766,108.01421356201172,477.9123229980469,75.92769622802734,716.6743774414062,25.90311050415039,348.9852294921875,8.17988395690918,55.06652069091797,151.1695098876953,166.36129760742188,1565.9136962890625,118.40299987792969,80.17942810058594,48.66398620605469,36.09493637084961,137.3892822265625,214.9959716796875,49.54085159301758,23.582618713378906,9.000086784362793,39.349998474121094
2023-01-10,6869.14013671875,122.11820983886719,109.08995819091797,24.534427642822266,44.87336730957031,46.43646240234375,14.1683988571167,154.0807647705078,23.100908279418945,88.3161392211914,33.74698257446289,160.0276641845703,25.8895320892334,10.046194076538086,64.0223159790039,21.295400619506836,108.95674133300781,475.915283203125,74.55607604980469,713.5609741210938,25.437944412231445,347.55438232421875,8.18484878540039,54.78083419799805,151.53933715820312,166.05130004882812,1561.53955078125,118.1121826171875,79.85140228271484,47.4976692199707,35.94484329223633,136.87698364257812,213.27963256835938,49.61730194091797,23.292238235473633,8.939300537109375,40.119998931884766
2023-01-11,6924.18994140625,124.53128051757812,107.95262145996094,24.79216194152832,45.131778717041016,46.63541793823242,14.130504608154297,154.03366088867188,22.999921798706055,88.56491088867188,34.31613540649414,160.49111938476562,25.94902992248535,10.15462875366211,60.9278678894043,21.039506912231445,106.97742462158203,493.25274658203125,76.00286102294922,728.65673828125,25.557558059692383,350.7499694824219,8.097969055175781,54.58441925048828,159.02847290039062,168.4424591064453,1575.147705078125,119.33363342285156,79.85140228271484,47.79154586791992,36.17240524291992,139.2487030029297,210.659912109375,49.940093994140625,23.723411560058594,9.155850410461426,40.52000045776367
2023-01-12,6975.68017578125,123.63500213623047,110.17044067382812,25.158939361572266,44.75095748901367,47.494911193847656,14.109450340270996,159.1194610595703,23.40386962890625,89.77325439453125,34.291603088378906,157.98849487304688,26.263511657714844,10.252371788024902,62.11951446533203,21.546955108642578,107.30731201171875,502.8744812011719,76.43501281738281,729.9776000976562,25.956270217895508,350.22528076171875,8.202223777770996,55.477195739746094,162.44943237304688,169.4608917236328,1570.2879638671875,121.40815734863281,80.05531311035156,48.39766311645508,36.254703521728516,139.51434326171875,219.06103515625,50.500732421875,23.978595733642578,9.076068878173828,41.540000915527344
2023-01-13,7023.5,122.54911041259766,110.73909759521484,25.52571678161621,45.0819091796875,47.638160705566406,13.949451446533203,160.9560089111328,23.40386962890625,90.0753402709961,34.92945098876953,161.1399383544922,25.473054885864258,10.174483299255371,61.946537017822266,21.42551612854004,106.36477661132812,511.5885314941406,76.6417007446289,740.9221801757812,25.965131759643555,356.6641540527344,8.207188606262207,55.83430862426758,160.78517150878906,171.7191925048828,1604.7940673828125,122.66838073730469,80.83546447753906,48.90276336669922,36.65657424926758,140.76661682128906,221.77105712890625,50.738590240478516,23.635417938232422,9.091264724731445,41.650001525878906
2023-01-16,7043.31005859375,124.28997039794922,109.29847717285156,25.723976135253906,45.45366287231445,47.399410247802734,14.58945083618164,162.6983642578125,23.605846405029297,89.82656860351562,34.86075973510742,161.0472412109375,25.634546279907227,10.075211524963379,62.369380950927734,21.503585815429688,109.00387573242188,512.9610595703125,77.05504608154297,747.9039306640625,26.3549861907959,360.0505065917969,8.025983810424805,56.5842399597168,162.72682189941406,172.87049865722656,1583.4097900390625,122.823486328125,81.42945098876953,49.53643035888672,36.76792526245117,139.77996826171875,226.19744873046875,50.4412841796875,24.17218589782715,9.169147491455078,41.20000076293945
2023-01-17,7077.16015625,124.6864013671875,110.24626159667969,25.59510612487793,45.408329010009766,47.34370803833008,14.724186897277832,161.28564453125,23.614261627197266,91.40807342529297,35.16495895385742,163.82791137695312,25.575050354003906,9.52387809753418,63.4841423034668,21.308412551879883,110.22915649414062,507.928466796875,77.5060043334961,752.33837890625,26.16891860961914,369.1602783203125,8.010262489318848,55.97715377807617,165.2231903076172,174.2431640625,1611.5982666015625,124.06432342529297,81.47378540039062,49.40785598754883,37.49903106689453,140.5579071044922,227.46212768554688,50.628150939941406,23.82900619506836,9.108362197875977,41.40999984741211
2023-01-18,7083.39013671875,124.37615203857422,112.35034942626953,26.09075164794922,45.31765365600586,47.463077545166016,14.648398399353027,166.04180908203125,23.782575607299805,92.29656982421875,34.90982437133789,162.80833435058594,25.634546279907227,9.568166732788086,64.04153442382812,21.455875396728516,109.47513580322266,497.49725341796875,77.41204833984375,756.5840454101562,26.089176177978516,365.9170227050781,7.962271690368652,55.495052337646484,159.7681427001953,169.1952362060547,1615.4862060546875,125.34394073486328,80.96845245361328,50.05071258544922,38.25917053222656,140.72866821289062,230.98516845703125,50.628150939941406,23.952198028564453,9.115959167480469,41.0
2023-01-19,6951.8701171875,124.78983306884766,110.81493377685547,25.228330612182617,45.52619934082031,46.87416458129883,14.35366153717041,161.9919891357422,23.462779998779297,90.9638442993164,34.183658599853516,158.4519500732422,25.090576171875,9.52387809753418,61.83121109008789,21.004812240600586,111.21881866455078,484.9613952636719,75.68343353271484,732.7138061523438,25.57084846496582,359.23968505859375,7.920902252197266,55.19150924682617,159.21340942382812,170.30224609375,1569.3157958984375,123.32757568359375,80.89752960205078,48.746639251708984,36.84055709838867,135.64369201660156,225.8361053466797,49.55783462524414,23.301036834716797,8.98678970336914,39.630001068115234
2023-01-20,6995.990234375,124.82430267333984,112.71049499511719,25.486064910888672,45.653141021728516,47.471038818359375,14.606290817260742,160.86183166503906,23.778366088867188,92.11888122558594,33.64885330200195,161.69606018066406,25.328563690185547,9.56205940246582,61.3507080078125,21.23468017578125,113.33952331542969,486.4255065917969,76.11558532714844,738.5633544921875,25.065811157226562,362.8645324707031,7.957307815551758,55.512908935546875,160.32289123535156,169.59373474121094,1582.43798828125,125.46026611328125,80.4365234375,48.50786590576172,36.85023880004883,136.080078125,226.64910888671875,49.99106216430664,23.450626373291016,9.123558044433594,39.70000076293945
