,Date,Cac40,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,OR.PA,ORA.PA,PUB.PA,RCO.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,VIE.PA,VIV.PA,WLN.PA,Money
0,2024-04-19 00:00:00,8022.41015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1,2024-04-22 00:00:00,8040.35986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2,2024-04-23 00:00:00,8105.77978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
3,2024-04-24 00:00:00,8091.85986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
4,2024-04-25 00:00:00,8016.64990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
5,2024-04-26 00:00:00,8088.240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
6,2024-04-29 00:00:00,8065.14990234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
7,2024-04-30 00:00:00,7984.93017578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
8,2024-05-02 00:00:00,7914.64990234375,-54983.51458401461,-34608.26340745594,-168255.86700724743,-46909.46151900698,51740.81329975134,-193477.7463707434,24193.266148698545,-191550.77544701428,-24977.607075769178,-72271.10385172108,20803.19877586417,130978.18384555768,699740.8867630429,-47343.90183881305,-58883.359049688646,-52156.42949084566,-8355.48537363232,-153574.61809904457,-3494.424461576246,256477.46492369112,1308.7542633769451,-279022.7649060866,109583.18364464503,-31067.85896942757,-19859.27345771441,-1141.1978814408144,150578.34931974777,-30947.82219533751,258945.7931655663,-73664.80272089141,32116.56905156353,-29202.95643910133,-2233.7405376436586,-97727.35532273512,-272565.39624922466,-242179.39067338035,10039472.049345657
9,2024-05-03 00:00:00,7957.56982421875,-54983.51458401461,-34608.26340745594,-168255.86700724743,-46909.46151900698,51740.81329975134,-193477.7463707434,24193.266148698545,-191550.77544701428,-24977.607075769178,-72271.10385172108,20803.19877586417,130978.18384555768,699740.8867630429,-47343.90183881305,-58883.359049688646,-52156.42949084566,-8355.48537363232,-153574.61809904457,-3494.424461576246,256477.46492369112,1308.7542633769451,-279022.7649060866,109583.18364464503,-31067.85896942757,-19859.27345771441,-1141.1978814408144,150578.34931974777,-30947.82219533751,258945.7931655663,-73664.80272089141,32116.56905156353,-29202.95643910133,-2233.7405376436586,-97727.35532273512,-272565.39624922466,-242179.39067338035,11348718.63559205
10,2024-05-06 00:00:00,7996.64013671875,-54983.51458401461,-34608.26340745594,-168255.86700724743,-46909.46151900698,51740.81329975134,-193477.7463707434,24193.266148698545,-191550.77544701428,-24977.607075769178,-72271.10385172108,20803.19877586417,130978.18384555768,699740.8867630429,-47343.90183881305,-58883.359049688646,-52156.42949084566,-8355.48537363232,-153574.61809904457,-3494.424461576246,256477.46492369112,1308.7542633769451,-279022.7649060866,109583.18364464503,-31067.85896942757,-19859.27345771441,-1141.1978814408144,150578.34931974777,-30947.82219533751,258945.7931655663,-73664.80272089141,32116.56905156353,-29202.95643910133,-2233.7405376436586,-97727.35532273512,-272565.39624922466,-242179.39067338035,11145934.525571963
