Datetime,AI.PA,AIR.PA,ALO.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,OR.PA,ORA.PA,PUB.PA,RCO.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,VIV.PA,WLN.PA
2023-11-21 08:00:00+00:00,155.4727325439453,133.32000732421875,12.734999656677246,69900.0,57.630001068115234,56.58000183105469,16.90999984741211,178.8000030517578,28.100000381469727,109.23999786376953,42.57500076293945,172.61456298828125,34.59000015258789,15.586000442504883,51.5,22.55500030517578,139.10000610351562,400.6499938964844,88.26000213623047,709.7999877929688,29.829999923706055,422.5,11.027999877929688,75.12000274658203,111.4000015258789,165.85000610351562,1949.5999755859375,160.22000122070312,85.44000244140625,58.2400016784668,42.310001373291016,163.74000549316406,133.89999389648438,63.119998931884766,55.7599983215332,28.0,8.805999755859375,13.710000038146973
2023-11-21 09:00:00+00:00,155.1999969482422,133.13999938964844,12.635000228881836,68980.0,57.790000915527344,56.459999084472656,16.864999771118164,178.10000610351562,28.084999084472656,108.9000015258789,42.54499816894531,172.2427215576172,34.4900016784668,15.555999755859375,51.36000061035156,22.459999084472656,139.3000030517578,398.3500061035156,88.18000030517578,707.0999755859375,29.780000686645508,422.20001220703125,11.01200008392334,74.5999984741211,111.6500015258789,165.89999389648438,1949.4000244140625,159.97999572753906,85.18000030517578,57.849998474121094,42.150001525878906,163.75999450683594,134.39999389648438,62.88999938964844,55.5,27.940000534057617,8.772000312805176,13.694999694824219
2023-11-21 10:00:00+00:00,155.5454559326172,133.5,12.704999923706055,70160.0,57.779998779296875,56.41999816894531,16.854999542236328,178.85000610351562,28.104999542236328,109.0199966430664,42.7400016784668,172.36013793945312,34.47999954223633,15.5600004196167,51.29999923706055,22.420000076293945,139.39999389648438,399.04998779296875,88.23999786376953,707.7000122070312,29.780000686645508,423.29998779296875,11.001999855041504,74.76000213623047,111.19999694824219,165.64999389648438,1956.800048828125,160.05999755859375,85.19999694824219,58.029998779296875,42.28499984741211,163.97999572753906,133.85000610351562,62.88999938964844,55.459999084472656,28.0,8.734000205993652,13.635000228881836
2023-11-21 11:00:00+00:00,155.345458984375,133.5399932861328,12.729999542236328,69880.0,57.7599983215332,56.369998931884766,16.829999923706055,179.0500030517578,28.09000015258789,109.0,42.599998474121094,172.51670837402344,34.52000045776367,15.550000190734863,51.36000061035156,22.43000030517578,139.4499969482422,398.54998779296875,88.08000183105469,706.0999755859375,29.729999542236328,423.6499938964844,10.994000434875488,74.63999938964844,111.3499984741211,165.8000030517578,1955.800048828125,160.0,85.19000244140625,58.029998779296875,42.23500061035156,164.05999755859375,134.25,62.97999954223633,55.279998779296875,27.969999313354492,8.732000350952148,13.625
2023-11-21 12:00:00+00:00,155.09091186523438,133.33999633789062,12.699999809265137,70380.0,57.709999084472656,56.2400016784668,16.795000076293945,179.10000610351562,28.09000015258789,108.5999984741211,42.57500076293945,172.32101440429688,34.41999816894531,15.539999961853027,51.5,22.3700008392334,139.35000610351562,398.04998779296875,88.22000122070312,706.0999755859375,29.709999084472656,423.70001220703125,10.98799991607666,74.80000305175781,111.44999694824219,165.9499969482422,1953.800048828125,160.0399932861328,85.0199966430664,57.959999084472656,42.0,164.1999969482422,133.89999389648438,62.720001220703125,55.18000030517578,27.950000762939453,8.711999893188477,13.649999618530273
2023-11-21 13:00:00+00:00,155.1999969482422,133.5399932861328,12.654999732971191,69200.0,57.720001220703125,56.2400016784668,16.860000610351562,179.3000030517578,28.114999771118164,108.69999694824219,42.470001220703125,172.2035675048828,34.52000045776367,15.550000190734863,51.34000015258789,22.350000381469727,139.35000610351562,397.70001220703125,88.0199966430664,703.7000122070312,29.65999984741211,423.1499938964844,11.015999794006348,74.4800033569336,110.8499984741211,165.5,1947.4000244140625,160.13999938964844,85.02999877929688,57.939998626708984,41.875,163.94000244140625,134.0,62.650001525878906,55.0,27.920000076293945,8.696000099182129,13.539999961853027
2023-11-21 14:00:00+00:00,156.0,133.77999877929688,12.510000228881836,69380.0,57.959999084472656,56.31999969482422,16.8700008392334,179.0,28.21500015258789,108.91999816894531,42.45500183105469,172.86898803710938,34.56999969482422,15.567999839782715,51.34000015258789,22.350000381469727,140.14999389648438,398.1000061035156,87.83999633789062,704.2000122070312,29.530000686645508,423.8500061035156,11.031999588012695,74.83999633789062,110.8499984741211,165.64999389648438,1950.4000244140625,161.24000549316406,85.25,57.95000076293945,41.595001220703125,163.9199981689453,132.9499969482422,62.9900016784668,54.439998626708984,27.899999618530273,8.640000343322754,13.494999885559082
2023-11-21 15:00:00+00:00,155.85455322265625,133.75999450683594,12.529999732971191,69720.0,57.970001220703125,56.459999084472656,16.844999313354492,178.39999389648438,28.21500015258789,108.94000244140625,42.45500183105469,173.0255584716797,34.540000915527344,15.53600025177002,51.5,22.420000076293945,140.14999389648438,398.95001220703125,87.76000213623047,703.2000122070312,29.459999084472656,424.3999938964844,11.041999816894531,74.62000274658203,110.80000305175781,165.5,1947.5999755859375,161.1199951171875,85.31999969482422,57.93000030517578,41.400001525878906,163.83999633789062,132.75,62.9900016784668,54.52000045776367,27.860000610351562,8.657999992370605,13.604999542236328
2023-11-21 16:00:00+00:00,155.92727661132812,133.83999633789062,12.5,69340.0,58.09000015258789,56.45000076293945,16.889999389648438,177.85000610351562,28.219999313354492,108.87999725341797,42.459999084472656,173.2212677001953,34.5,15.526000022888184,51.65999984741211,22.434999465942383,140.35000610351562,398.45001220703125,87.72000122070312,704.0,29.40999984741211,424.5,11.043999671936035,74.58000183105469,111.05000305175781,165.9499969482422,1948.800048828125,161.02000427246094,85.37999725341797,57.720001220703125,41.41999816894531,163.75999450683594,132.4499969482422,62.9900016784668,54.02000045776367,27.84000015258789,8.684000015258789,13.625
2023-11-22 08:00:00+00:00,156.8727264404297,133.10000610351562,12.734999656677246,70900.0,58.5,56.689998626708984,17.149999618530273,179.1999969482422,28.459999084472656,109.9800033569336,42.6150016784668,173.98452758789062,34.59000015258789,15.758000373840332,51.880001068115234,22.469999313354492,141.3000030517578,403.25,88.18000030517578,705.5999755859375,29.829999923706055,427.75,11.100000381469727,74.83999633789062,112.69999694824219,168.25,1969.0,160.77999877929688,85.6500015258789,57.290000915527344,41.69499969482422,165.52000427246094,132.3000030517578,63.31999969482422,54.41999816894531,27.899999618530273,8.77400016784668,13.515000343322754
